2025-11-22 13:58:55.467 | MEXC | USDCUSDT | Sell | Price: 1,0003 | Qty: 14908,5 | Value: $14 912,97
2025-11-22 13:59:11.917 | MEXC | BTCUSDT | Buy | Price: 83951,2 | Qty: 0,44983769 | Value: $37 764,41
2025-11-22 13:59:19.917 | MEXC | BTCUSDT | Sell | Price: 83938,1 | Qty: 1,16119785 | Value: $97 468,74
2025-11-22 13:59:19.919 | MEXC | BTCUSDT | Sell | Price: 83938,1 | Qty: 0,26797973 | Value: $22 493,71
2025-11-22 13:59:20.832 | MEXC | BTCUSDT | Sell | Price: 83938,09 | Qty: 0,48854656 | Value: $41 007,67
2025-11-22 13:59:30.382 | MEXC | ETHUSDT | Buy | Price: 2718,67 | Qty: 6,03797 | Value: $16 415,25
2025-11-22 13:59:30.383 | MEXC | ETHUSDT | Sell | Price: 2718,67 | Qty: 3,75966 | Value: $10 221,27
2025-11-22 13:59:36.417 | MEXC | BTCUSDT | Buy | Price: 83926,64 | Qty: 0,13620534 | Value: $11 431,26
2025-11-22 13:59:36.417 | MEXC | BTCUSDT | Buy | Price: 83926,64 | Qty: 0,21215804 | Value: $17 805,71
2025-11-22 13:59:36.418 | MEXC | BTCUSDT | Buy | Price: 83926,64 | Qty: 0,19120557 | Value: $16 047,24
2025-11-22 13:59:38.761 | MEXC | BTCUSDT | Sell | Price: 83926,64 | Qty: 1,6 | Value: $134 282,62
2025-11-22 13:59:44.271 | MEXC | BTCUSDC | Buy | Price: 83967,49 | Qty: 0,128725 | Value: $10 808,72
2025-11-22 13:59:50.164 | MEXC | LINKUSDT | Sell | Price: 11,79 | Qty: 1000,85 | Value: $11 800,02
2025-11-22 13:59:50.390 | MEXC | ETHUSDT | Sell | Price: 2719 | Qty: 4,87757 | Value: $13 262,11
2025-11-22 13:59:54.703 | MEXC | ICPUSDT | Buy | Price: 4,087 | Qty: 2696,4 | Value: $11 020,19
2025-11-22 14:00:14.895 | MEXC | SOLUSDT | Buy | Price: 125,72 | Qty: 96,325 | Value: $12 109,98
2025-11-22 14:00:15.145 | MEXC | ZECUSDT | Buy | Price: 500,85 | Qty: 47,971 | Value: $24 026,28
2025-11-22 14:00:26.300 | MEXC | BTCUSDT | Buy | Price: 83992,71 | Qty: 0,15272408 | Value: $12 827,71
2025-11-22 14:00:34.052 | MEXC | BTCUSDC | Buy | Price: 84051,1 | Qty: 0,128631 | Value: $10 811,58
2025-11-22 14:00:34.052 | MEXC | BTCUSDC | Buy | Price: 84143,29 | Qty: 0,128705 | Value: $10 829,66
2025-11-22 14:00:34.915 | MEXC | BCHUSDT | Buy | Price: 542,4 | Qty: 23,74969 | Value: $12 881,83
2025-11-22 14:00:34.915 | MEXC | BCHUSDT | Sell | Price: 542,7 | Qty: 20,25742 | Value: $10 993,70
2025-11-22 14:00:34.915 | MEXC | BCHUSDT | Sell | Price: 542,7 | Qty: 20,95587 | Value: $11 372,75
2025-11-22 14:00:43.918 | MEXC | BTCUSDT | Buy | Price: 84015,7 | Qty: 0,9814601 | Value: $82 458,06
2025-11-22 14:00:43.919 | MEXC | BTCUSDT | Buy | Price: 84015,7 | Qty: 11,97365325 | Value: $1 005 974,86
2025-11-22 14:00:45.444 | MEXC | BTCUSDT | Buy | Price: 84015,69 | Qty: 0,19431461 | Value: $16 325,48
2025-11-22 14:00:45.445 | MEXC | BTCUSDT | Buy | Price: 84015,69 | Qty: 0,12954784 | Value: $10 884,05
2025-11-22 14:00:45.445 | MEXC | BTCUSDT | Sell | Price: 84015,69 | Qty: 0,23479385 | Value: $19 726,37
2025-11-22 14:00:45.931 | MEXC | AIAUSDT | Sell | Price: 0,6537 | Qty: 16629,99 | Value: $10 871,02
2025-11-22 14:00:54.927 | MEXC | BTCUSDT | Sell | Price: 84020,01 | Qty: 8,43280906 | Value: $708 524,70
2025-11-22 14:00:54.927 | MEXC | BTCUSDT | Buy | Price: 84020,01 | Qty: 3,43030368 | Value: $288 214,15
2025-11-22 14:00:54.927 | MEXC | BTCUSDT | Sell | Price: 84020,01 | Qty: 2,85858878 | Value: $240 178,66
2025-11-22 14:00:55.952 | MEXC | BTCUSDT | Buy | Price: 84020 | Qty: 0,13661617 | Value: $11 478,49
2025-11-22 14:01:01.880 | MEXC | ETHUSDT | Buy | Price: 2722,67 | Qty: 4,47026 | Value: $12 171,04
2025-11-22 14:01:04.792 | MEXC | TRXUSDT | Sell | Price: 0,2744 | Qty: 61230,03 | Value: $16 801,52
2025-11-22 14:01:04.792 | MEXC | TRXUSDT | Sell | Price: 0,2744 | Qty: 65603,3 | Value: $18 001,55
2025-11-22 14:01:11.920 | MEXC | BTCUSDT | Sell | Price: 84088,36 | Qty: 0,31194256 | Value: $26 230,74
2025-11-22 14:01:11.923 | MEXC | BTCUSDT | Buy | Price: 84088,36 | Qty: 0,38067252 | Value: $32 010,13
2025-11-22 14:01:12.791 | MEXC | TRXUSDT | Sell | Price: 0,2746 | Qty: 88955,75 | Value: $24 427,25
2025-11-22 14:01:12.791 | MEXC | TRXUSDT | Buy | Price: 0,2746 | Qty: 56609,8 | Value: $15 545,05
2025-11-22 14:01:15.419 | MEXC | BTCUSDT | Buy | Price: 84097,04 | Qty: 0,16592136 | Value: $13 953,50
2025-11-22 14:01:21.696 | MEXC | BTCUSDT | Sell | Price: 84113,5 | Qty: 0,29932371 | Value: $25 177,16
2025-11-22 14:01:22.916 | MEXC | BTCUSDT | Sell | Price: 84112,81 | Qty: 0,1496569 | Value: $12 588,06
2025-11-22 14:01:22.916 | MEXC | BTCUSDT | Buy | Price: 84112,8 | Qty: 0,14771348 | Value: $12 424,59
2025-11-22 14:01:22.917 | MEXC | BTCUSDT | Buy | Price: 84112,8 | Qty: 0,16326077 | Value: $13 732,32
2025-11-22 14:01:22.917 | MEXC | BTCUSDT | Sell | Price: 84112,8 | Qty: 0,15743054 | Value: $13 241,92
2025-11-22 14:01:26.791 | MEXC | TRXUSDT | Sell | Price: 0,2745 | Qty: 49805,57 | Value: $13 671,63
2025-11-22 14:01:26.792 | MEXC | TRXUSDT | Buy | Price: 0,2745 | Qty: 39382,06 | Value: $10 810,38
2025-11-22 14:01:39.880 | MEXC | ETHUSDT | Buy | Price: 2727,87 | Qty: 11,92826 | Value: $32 538,74
2025-11-22 14:01:39.881 | MEXC | ETHUSDT | Sell | Price: 2727,87 | Qty: 20,87411 | Value: $56 941,86
2025-11-22 14:01:39.881 | MEXC | ETHUSDT | Buy | Price: 2727,87 | Qty: 8,25816 | Value: $22 527,19
2025-11-22 14:01:41.918 | MEXC | ETHUSDT | Sell | Price: 2727,88 | Qty: 54,64285 | Value: $149 059,14
2025-11-22 14:01:44.382 | MEXC | ETHUSDT | Sell | Price: 2727,87 | Qty: 14,70342 | Value: $40 109,02
2025-11-22 14:01:44.383 | MEXC | ETHUSDT | Buy | Price: 2727,87 | Qty: 8,47334 | Value: $23 114,17
2025-11-22 14:01:44.383 | MEXC | ETHUSDT | Sell | Price: 2727,87 | Qty: 11,71298 | Value: $31 951,49
2025-11-22 14:01:44.882 | MEXC | ETHUSDT | Buy | Price: 2727,88 | Qty: 8,3651 | Value: $22 818,99
2025-11-22 14:01:44.882 | MEXC | ETHUSDT | Buy | Price: 2727,88 | Qty: 14,72952 | Value: $40 180,36
2025-11-22 14:01:44.883 | MEXC | ETHUSDT | Buy | Price: 2727,88 | Qty: 5,45566 | Value: $14 882,39
2025-11-22 14:01:44.935 | MEXC | BTCUSDT | Buy | Price: 84135,05 | Qty: 0,1437612 | Value: $12 095,36
2025-11-22 14:01:45.418 | MEXC | BTCUSDT | Sell | Price: 84135,04 | Qty: 0,19529332 | Value: $16 431,01
2025-11-22 14:01:45.418 | MEXC | BTCUSDT | Buy | Price: 84135,04 | Qty: 0,12694565 | Value: $10 680,58
2025-11-22 14:01:46.918 | MEXC | BTCUSDT | Sell | Price: 84135,05 | Qty: 0,31111633 | Value: $26 175,79
2025-11-22 14:01:46.919 | MEXC | BTCUSDT | Buy | Price: 84135,05 | Qty: 0,6646414 | Value: $55 919,64
2025-11-22 14:01:47.228 | MEXC | ZECUSDT | Sell | Price: 503,91 | Qty: 85,767951 | Value: $43 219,33
2025-11-22 14:01:47.382 | MEXC | ETHUSDT | Buy | Price: 2727,73 | Qty: 23,35647 | Value: $63 710,14
2025-11-22 14:01:47.382 | MEXC | ETHUSDT | Buy | Price: 2727,73 | Qty: 33,0582 | Value: $90 173,84
2025-11-22 14:01:47.382 | MEXC | ETHUSDT | Buy | Price: 2727,73 | Qty: 5,03097 | Value: $13 723,13
2025-11-22 14:01:47.383 | MEXC | ETHUSDT | Buy | Price: 2727,73 | Qty: 32,33956 | Value: $88 213,59
2025-11-22 14:01:47.916 | MEXC | BTCUSDT | Buy | Price: 84135,05 | Qty: 0,14836658 | Value: $12 482,83
2025-11-22 14:01:47.918 | MEXC | BTCUSDT | Sell | Price: 84135,05 | Qty: 0,18545466 | Value: $15 603,24
2025-11-22 14:01:47.919 | MEXC | BTCUSDT | Sell | Price: 84135,05 | Qty: 0,24479559 | Value: $20 595,89
2025-11-22 14:01:47.919 | MEXC | BTCUSDT | Buy | Price: 84135,05 | Qty: 0,31155412 | Value: $26 212,62
2025-11-22 14:01:49.917 | MEXC | BTCUSDT | Sell | Price: 84138,39 | Qty: 0,25500617 | Value: $21 455,81
2025-11-22 14:01:49.918 | MEXC | BTCUSDT | Sell | Price: 84138,41 | Qty: 0,1604124 | Value: $13 496,84
2025-11-22 14:01:52.882 | MEXC | ETHUSDT | Sell | Price: 2728,87 | Qty: 36,0947 | Value: $98 497,74
2025-11-22 14:01:57.883 | MEXC | ETHUSDT | Buy | Price: 2728,65 | Qty: 9,10336 | Value: $24 839,88
2025-11-22 14:01:57.883 | MEXC | ETHUSDT | Sell | Price: 2728,65 | Qty: 5,42347 | Value: $14 798,75
2025-11-22 14:01:59.417 | MEXC | BTCUSDT | Buy | Price: 84150,01 | Qty: 0,1293213 | Value: $10 882,39
2025-11-22 14:01:59.417 | MEXC | BTCUSDT | Sell | Price: 84150,01 | Qty: 0,15395122 | Value: $12 955,00
2025-11-22 14:01:59.917 | MEXC | BTCUSDT | Sell | Price: 84149,78 | Qty: 1,62852098 | Value: $137 039,68
2025-11-22 14:01:59.917 | MEXC | BTCUSDT | Buy | Price: 84149,78 | Qty: 1,45403811 | Value: $122 356,99
2025-11-22 14:02:00.976 | MEXC | ZECUSDT | Sell | Price: 504,85 | Qty: 22,335657 | Value: $11 276,16
2025-11-22 14:02:07.850 | MEXC | POLUSDT | Sell | Price: 0,1312 | Qty: 106826,87 | Value: $14 015,69
2025-11-22 14:02:07.917 | MEXC | BTCUSDT | Buy | Price: 84108,59 | Qty: 1,65306433 | Value: $139 036,91
2025-11-22 14:02:07.917 | MEXC | BTCUSDT | Buy | Price: 84108,6 | Qty: 0,69429529 | Value: $58 396,20
2025-11-22 14:02:07.917 | MEXC | BTCUSDT | Sell | Price: 84108,59 | Qty: 0,33062428 | Value: $27 808,34
2025-11-22 14:02:07.918 | MEXC | BTCUSDT | Sell | Price: 84108,59 | Qty: 0,8761308 | Value: $73 690,13
2025-11-22 14:02:07.918 | MEXC | BTCUSDT | Buy | Price: 84108,59 | Qty: 0,8100088 | Value: $68 128,70
2025-11-22 14:02:07.919 | MEXC | BTCUSDT | Buy | Price: 84108,59 | Qty: 0,62817329 | Value: $52 834,77
2025-11-22 14:02:08.924 | MEXC | BTCUSDT | Buy | Price: 84108,59 | Qty: 0,12309876 | Value: $10 353,66
2025-11-22 14:02:17.416 | MEXC | BTCUSDT | Sell | Price: 84129,62 | Qty: 0,13158628 | Value: $11 070,30
2025-11-22 14:02:18.411 | MEXC | XRPUSDT | Sell | Price: 1,9044 | Qty: 5266,8 | Value: $10 030,09
2025-11-22 14:02:25.883 | MEXC | ETHUSDT | Sell | Price: 2729,97 | Qty: 9,37798 | Value: $25 601,60
2025-11-22 14:02:25.883 | MEXC | ETHUSDT | Buy | Price: 2729,96 | Qty: 29,07081 | Value: $79 362,15
2025-11-22 14:02:25.883 | MEXC | ETHUSDT | Sell | Price: 2729,96 | Qty: 17,81776 | Value: $48 641,77
2025-11-22 14:02:25.883 | MEXC | ETHUSDT | Buy | Price: 2729,96 | Qty: 18,13035 | Value: $49 495,13
2025-11-22 14:02:25.884 | MEXC | ETHUSDT | Sell | Price: 2729,96 | Qty: 17,1926 | Value: $46 935,11
2025-11-22 14:02:31.880 | MEXC | ETHUSDT | Sell | Price: 2730,07 | Qty: 4,98304 | Value: $13 604,05
2025-11-22 14:02:39.918 | MEXC | BTCUSDT | Buy | Price: 84166,31 | Qty: 0,35925454 | Value: $30 237,13
2025-11-22 14:02:40.417 | MEXC | BTCUSDT | Sell | Price: 84166,32 | Qty: 0,20544162 | Value: $17 291,27
2025-11-22 14:02:41.430 | MEXC | BTCUSDT | Sell | Price: 84166,31 | Qty: 0,15374321 | Value: $12 940,00
